    ('3OTYUYS98YI4AQ01', '3OTYOBAJJ2DCFP01', 'test_user1', NULL, NULL, NULL, NULL, NULL, NULL, '2022-02-17T08:05:30.000000Z', NULL, 'IN_PROGRESS', '2022-02-17T08:05:30.000000Z', '2022-02-17T08:05:30.000000Z', 'init', 'init', 1),
    ('3OTYVU1QOM9WO501', '3OTYP0A6FQ0KJ701', 'test_user1', 'MBS572', 'MBS572', 'GROUP_1', 'RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-16T08:05:30.000000Z', '2022-02-18T10:06:30.000000Z', 'FINISHED', '2022-02-17T08:05:30.000000Z', '2022-02-17T08:05:30.000000Z', 'init', 'init', 1),
    ('3OTYW2F07SJK6R01', '3OTYPW9XWNR8XR01', 'test_user2', NULL, 'IL275KF', 'GROUP_6', 'NOT_RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-17T08:05:30.000000Z', '2022-02-18T10:07:30.000000Z', 'FINISHED', '2022-02-17T08:05:30.000000Z', '2022-02-17T08:05:30.000000Z', 'init', 'init', 1),
    ('3OTYWBDMH38WNB01', '3OTYR0QFFJVC0401', 'test_user3', 'MSS697', 'MSS697', 'GROUP_5', 'RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T08:05:30.000000Z', '2022-02-18T10:08:30.000000Z', 'FINISHED', '2022-02-18T08:05:30.000000Z', '2022-02-18T08:05:30.000000Z', 'init', 'init', 1),
    ('3OTYWK3YDOEGEN01', '3OTYR9Q2BOZKVK01', 'test_user3', NULL, NULL, NULL, NULL, NULL, NULL, '2022-02-15T07:09:30.000000Z', NULL, 'IN_PROGRESS', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3OTYWT4MOY8SJ601', '3OTYOBAJJ2DCFP01', 'test_user4', 'SPX873', 'SPX873', 'GROUP_1', 'RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:10:30.000000Z', '2022-02-18T10:10:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3OTYX3K7JFK04O01', '3OTYORGNBXKWP801', 'test_user4', 'GGG370', 'GGG370', 'GROUP_1', 'RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:11:30.000000Z', '2022-02-18T10:11:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3OTYXCPKI5TW9G01', '3OTYP0A6FQ0KJ701', 'test_user4', NULL, 'MBS572', 'GROUP_1', 'NOT_RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:12:30.000000Z', '2022-02-18T10:12:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3OTYXLPYOT8GEN01', '3OTYP9QROCZ0J501', 'test_user4', 'KDL487', 'KDL487', NULL, 'RECOGNIZED', 'RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:13:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3OTYXV7PPI5OI801', '3OTYPI5CSMECLW01', 'test_user4', 'SIE054', 'SIE054', 'GROUP_1', 'RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:14:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3OTYY5CQZI1OFG01', '3OTYPW9XWNR8XR01', 'test_user4', 'SPX939', 'IL275KF', NULL, 'RECOGNIZED', 'RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:15:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3OTYYFMUTOGGAD01', '3OTYQ61M3RUG7Z01', 'test_user4', NULL, NULL, NULL, NULL, NULL, NULL, '2022-02-18T07:05:30.000000Z', '2022-02-18T10:16:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3OTYYP7UY5ES7B01', '3OTYQRFTSG3WT001', 'test_user4', 'GRS411', 'GRS411', 'GROUP_1', 'RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:17:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3OTYYYL0QUYO4Y01', '3OTYR0QFFJVC0401', 'test_user4', 'MSS697', 'MSS697', NULL, 'RECOGNIZED', 'RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:18:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3OTYZ90VWP2OZ501', '3OTYR9Q2BOZKVK01', 'test_user4', 'MBM782', 'MBM782', NULL, 'RECOGNIZED', 'RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:19:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2WPJ7PKW801', '3Q8ZLISQ7PIGKP02', 'test_user1', NULL, NULL, 'GROUP_1', 'NO_PLATE', 'NOT_RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:20:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2WTNNSK9V02', '3Q8ZLISQ7PIGKP02', 'test_user2', NULL, NULL, 'GROUP_1', 'NOT_RECOGNIZED', 'NOT_RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:21:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2WTXJI48203', '3Q8ZLISRKCRC8Z03', 'test_user1', NULL, NULL, 'GROUP_1', 'NO_PLATE', 'NOT_RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:22:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2WU81TK1L04', '3Q8ZLISYT17KIO0L', 'test_user1', NULL, NULL, NULL, 'NOT_RECOGNIZED', 'NOT_RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:23:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2WUHI3K0405', '3Q8ZLISYT17KIO0L', 'test_user2', NULL, 'MBM782', 'GROUP_1', 'NO_PLATE', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:24:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2WVRUBKOF06', '3Q8ZLISYT17KIO0L', 'test_user3', 'MBM782', NULL, 'GROUP_1', 'RECOGNIZED', 'NOT_RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:25:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2WV23UCOR07', '3Q8ZLISYT17KIO0L', 'test_user4', 'MBM782', 'MBM782', 'GROUP_1', 'RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:26:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2WWUYF8K108', '3Q8ZLISYT17KIO0L', 'test_user5', NULL, NULL, 'GROUP_1', 'NOT_RECOGNIZED', 'NO_PLATE', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:27:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2WX6EB01X09', '3Q8ZLISRW7DOBS04', 'test_user1', 'MBM782', 'MBM782', 'GROUP_1', 'RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:28:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2WYF6A0WB0A', '3Q8ZLISRW7DOBS04', 'test_user2', NULL, NULL, 'GROUP_1', 'NO_PLATE', 'NOT_RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:29:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2WYMVWGLF0B', '3Q8ZLISRW7DOBS04', 'test_user3', 'MBM782', 'MBM782', 'GROUP_1', 'RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:30:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2WYTSCWME0C', '3Q8ZLISRW7DOBS04', 'test_user4', NULL, NULL, 'GROUP_1', 'NO_PLATE', 'NOT_RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:31:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2WZ5EYCYA0D', '3Q8ZLISRW7DOBS04', 'test_user5', NULL, NULL, 'GROUP_1', 'NOT_RECOGNIZED', 'NO_PLATE', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:32:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2WZCKD0EX0E', '3Q8ZLISS9574CO05', 'test_user1', NULL, 'MBM782', 'GROUP_1', 'NOT_RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:33:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2X0NIQ8VW0F', '3Q8ZLISS9574CO05', 'test_user2', 'MBM782', 'MBM782', NULL, 'RECOGNIZED', 'RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:34:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2X0VBWGCL0G', '3Q8ZLISS9574CO05', 'test_user3', NULL, NULL, NULL, 'NOT_RECOGNIZED', 'NO_PLATE', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:35:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2X03WRWID0H', '3Q8ZLISSJKW4SE06', 'test_user1', NULL, 'MBM782', NULL, 'NOT_RECOGNIZED', 'RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:36:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2X1E04GBZ0I', '3Q8ZLISSJKW4SE06', 'test_user2', 'MBM782', NULL, 'GROUP_1', 'RECOGNIZED', 'NOT_RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:37:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2X1LOIGZD0J', '3Q8ZLISSJKW4SE06', 'test_user3', 'MBM782', 'MBM782', NULL, 'RECOGNIZED', 'RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:38:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2X2U8B0TF0K', '3Q8ZLISSJKW4SE06', 'test_user4', NULL, 'MBM782', 'GROUP_1', 'NO_PLATE', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:39:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2X26BSSU60L', '3Q8ZLISSJKW4SE06', 'test_user5', NULL, NULL, NULL, 'NO_PLATE', 'NOT_RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:40:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2X3Q7RSYM0M', '3Q8ZLISTRW9WBW07', 'test_user1', NULL, 'MBM782', 'GROUP_1', 'NO_PLATE', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:41:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2X48BP8I90N', '3Q8ZLISTRW9WBW07', 'test_user2', 'MBM782', 'MBM782', NULL, 'RECOGNIZED', 'RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:42:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2X5QKEWA20O', '3Q8ZLISTRW9WBW07', 'test_user3', NULL, 'MBM782', 'GROUP_1', 'NOT_RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:43:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2X5ZJ3KIF0P', '3Q8ZLIST0JGOJM08', 'test_user1', 'MBM782', 'MBM782', NULL, 'RECOGNIZED', 'RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:44:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2X6F72CRW0Q', '3Q8ZLIST0JGOJM08', 'test_user2', NULL, 'MBM782', 'GROUP_1', 'NO_PLATE', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T10:45:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
